Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
EGHT,8x8 Inc,20.36,$2.04B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
JFU,9F Inc.,10.615,$2.06B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",49.44,$2.58B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,3.4,$167.67M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,0.2,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.37,$2.97M,2014,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",196.79,$8.89B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,0.2547,$42.9M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ACIU,AC Immune SA,8.46,$571.58M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",66.67,$2.75B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,2.93,$146.89M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",32.6,$2.89B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,47,$7.24B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,9.94,$379.67M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.08,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.67,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",2,$170.39M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",15.46,$844.81M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,48.45,$2.57B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,3.05,$271.53M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",1.76,$140.05M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,3.47,$35.03M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",0.9214,$7.7M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",6.19,$867.17M,2006,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",37.79,$4.41B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",1.64,$67.88M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",13.79,$250.93M,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,35.48,$251M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",1.75,$84.05M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ACTT,Act II Global Acquisition Corp.,9.93,$372.38M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/actt
ACTTU,Act II Global Acquisition Corp.,10.42,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acttu
ACTTW,Act II Global Acquisition Corp.,0.88,$19.14M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acttw
